莲园路488弄	1	莲园路488弄	26478	19718	23104	24966	30854	28532
宏莲馨苑	2	莲园路151弄	33292	24224	28389	30685	33105	32294
嘉德公寓	3	北张家浜路28弄1～3号	40618	27835	33621	39272	37052	37071
名门滨江苑	4	浦东大道1093弄	48020	34559	39571	42335	41920	41633
东淮海公寓	5	人民路777弄	55479	40016	44098	48740	49281	47635
财富海景	6	浦明路258弄	94905	106095	105188	96614	90087	86420
天科苑	7	浦东南路1550弄	43046	33442	34990	40683	39670	42615
汤臣一品	8	花园石桥路28弄	181709	157969	161015	160902	160897	220386
鹏利辉盛阁国际公寓	9	银城中路600弄	0	119266	0	0	0	0
菊园	12	浦城路366弄	50476	37412	41672	45177	45121	46448
仁恒滨江园	13	浦明路99弄	67439	58028	63207	64185	62047	62127
华飞公寓	14	潍坊路59弄	44212	32712	44674	40643	40711	46904
东昌新村	15	东昌路24弄	54513	35336	39087	85736	47500	47765
东昌大楼	16	东昌路600号	38398	30199	33570	36394	37011	33705
东园一村	17	浦东南路东昌路490弄	48597	32349	35669	40718	41407	41303
东园三村	19	浦东南路978号	47708	31613	34504	40902	43611	40716
东园四村	20	浦城路/商城路	47173	31282	34596	41202	41948	42435
紫光大厦	21	商城路341号	31240	27059	26420	26869	29731	27506
申金大厦	22	浦东新区商城路297号	33867	25839	27948	28685	29071	31734
汤臣中心	23	张杨路188号	25852	27259	26085	20781	27755	26086
滨江兰庭	24	浦城路786弄	44197	38877	42067	43853	43456	44778
久阳滨江公寓	25	潍坊西路108弄	35986	27853	30272	33286	32538	32498
天后宫大楼	26	浦东南路1200号	40980	29327	31891	36198	35685	35591
世茂滨江花园	27	潍坊西路1弄,潍坊西路2弄	57859	53138	55873	55898	53436	57428
宝石公寓	28	水城南路51弄	37567	26919	33625	33378	33959	36143
金马公寓	29	荣华西道99弄	39434	29413	37462	37093	38907	37446
东泰大楼	30	浦东南路978号	35860	27142	31266	35808	33415	33043
盛大金磐	31	上海浦东新区东泰路200弄	78251	72952	78096	73064	66783	65289
盛世年华	32	羽山路100弄	65092	45213	49713	56296	56654	57000
联洋年华	33	丁香路910弄	57682	37107	43242	47514	49524	47309
龙威名邸	35	巨野路455弄	49884	31404	35881	43344	42859	44267
VIP大厦	36	浦东大道727弄	35008	25475	25443	0	5238	29320
世茂湖滨花园	38	浦东新区 明月路188弄	49047	35574	38835	41482	42278	41728
中星海上景庭	39	张杨路1811弄	46537	31132	36349	42367	42445	41730
大渡河路21弄	40	大渡河路21弄10号104-5	10000	9215	0	0	10000	10000
澳丽花苑	42	浦建路60弄	50149	35590	39478	42416	42452	43065
中江小区	43	中江路650弄1～58号	33586	24948	28169	30201	31745	32526
新昌里公寓	44	昌里东路320弄	42143	30654	34128	38219	36668	37180
美林别墅	45	环林东路491弄	75695	57901	64253	71280	68783	70383
书香名第	47	光复西路2077弄	36689	26240	29433	31006	32923	33180
开发浦东	49	浦东南路1299弄,浦东南路1349号,浦东南路1399号,浦东南路...	46496	28296	33730	40779	41811	38773
长风一村	50	金沙江路枣阳路口	32693	23601	26741	30425	31409	29777
长风三村	51	枣阳路465弄	33584	24215	27767	30272	31882	30763
长风小区	52	金沙江路875弄1-25号,大渡河路711弄1-16号	30023	12486	26086	29869	30000	30000
金沙江公寓	53	金沙江路65弄1-36号	38288	27619	30639	35018	35354	36402
名师华苑	54	金沙江路895弄	40567	29259	23281	37237	34400	33963
光复西路2269弄	56	光复西路2269弄	42576	24590	18181	29444	19138	15936
联洋花园	58	丁香路901弄,丁香路999弄,丁香路1089弄	58696	37804	41073	45635	45811	45465
风华水岸	59	枣阳路891弄	39307	29524	33370	38190	38277	37462
蓝宝石公寓	60	巨鹿路741号	74846	53589	55573	17094	50120	49346
石岚三村	61	岚皋路321	33032	24310	26224	30320	32739	32080
陆家宅小区	62	中山北路2627弄	29770	23000	25510	28806	30579	34230
兰凤新村	63	岚皋路215弄	32770	23023	25195	32200	31542	33187
和平新村	64	柳营路45弄	13323	18279	35662	24897	14873	29970
北石路440弄	65	北石路440弄	14497	21815	26878	26530	22686	17617
岚皋馨苑	66	铜川路276弄	38693	27426	29376	33358	35044	36057
岚皋西路45弄	67	岚皋西路45弄	33215	22380	26545	29591	30906	30713
兰田新村	68	兰田路96号	31000	19556	23504	31202	32374	31935
东樱花苑	73	临沂北路200号	32000	21068	0	5039	17513	30385
卢湾都市花园	74	鲁班路509弄	56442	37050	42357	52612	50229	51163
潍坊十村	75	潍坊路126弄,潍坊路140弄,潍坊路154弄,崂山东路645弄	58482	29389	35228	45138	45730	45477
黄浦房产	76	潍坊西路100弄	37073	27427	28392	33466	35181	34647
香榭丽花园	77	松林路333弄	51258	38097	39539	44214	44574	44241
阳光摩天城	78	浦东南路2321号/临沂路8弄	37207	28674	31540	32665	38245	36924
海怡别墅	81	松林路97弄	45564	30800	50017	49481	49848	43974
浦发绿城	82	浦三路2801弄,永泰路2079弄,永泰路2080弄,西泰林路750...	28695	19744	23277	26594	26261	26685
莲文苑	84	莲园路77弄	39736	28631	32335	35151	37136	37244
香梅花园	85	锦绣路1650弄,梅花路50弄,东绣路266弄,东绣路2...	50296	38312	39936	44259	44541	44128
浦东翡翠上南	86	杨南路399弄	41093	27379	31775	35003	36155	36354
环球翡翠湾花园	87	西泰林路158弄	39303	26633	31331	35047	34703	34359
名嘉新苑	88	永泰路1650弄	36186	26563	28299	31149	31641	31289
仙都绿苑	89	浦东大道2554号	28467	22518	24726	28925	27121	26832
未来域	90	御桥路288弄 杨高南路288弄	37251	27046	29847	35478	34119	33691
中邦晶座	91	丁香路1066号	56721	45011	46979	42924	45533	49286
九间堂	92	芳甸路599弄	194391	111076	120605	123172	131709	136615
翰城国际	93	云台路1000弄	39482	27128	31207	34399	34270	33885
兰村大厦	94	东方路1381号	23018	17034	20198	19341	22155	23106
碧云左岸	95	申江路881弄,申江路988弄	45650	41055	41831	34801	34958	38027
新塘桥生活广场	97	塘桥路400弄	29719	20965	24873	24847	28514	25653
梅园二街坊	98	福山路40弄,栖霞路300弄	69526	35958	44138	52803	53222	53225
由由新邸	99	严桥路58弄	38607	26529	29920	31060	34865	34063
晓园	100	红枫路358弄	55874	41134	44370	47277	48835	48447
巨洋豪园	101	浦东大道1000弄1～3号	48894	31274	33000	38500	40910	39538
山水国际	102	羽山路383弄	67695	41190	47528	51787	51282	53026
维诗凯亚别墅	105	云山路2000弄	73444	54381	55687	52799	55852	60969
仁恒河滨城	106	丁香路1599弄,丁香路1399弄,丁香路1299弄	69097	50855	53014	55688	58379	58016
金色维也纳	108	锦绣路333弄1～56号	73553	47990	52997	52602	54902	53134
昌里雅苑	110	东明路511弄	44671	29314	33486	35986	36138	36349
雪野家园	111	浦东南路4250弄	43670	30610	35903	37033	38033	37637
汇景阁	112	临沂路115弄	39533	25000	33157	38070	8076	38239
龙阳花苑	114	浦东临沂路61弄	41660	30557	33938	37281	39611	38500
巨峰家苑	115	巨峰路758弄1-60号,博兴路1768弄	33632	23011	26443	33916	31584	31178
陆家嘴中央公寓	116	东绣路99弄	61344	41286	47000	49161	47750	49676
海上国际花园一期	117	成山路2399弄,博华路380弄	44659	34526	37529	37837	39370	39123
绿地御桥苑	119	御山路390弄1～40号	31037	21701	23673	26680	30462	29290
由由七村	120	高科西路1655弄、严桥路150弄、严桥..	32973	23207	24899	30811	31825	29489
由由民丰苑	121	严桥路19弄	33387	23913	27417	31228	30423	30737
由由世纪苑	122	严民路248弄1-28号	35710	25000	30321	35577	35553	32089
由由六村	123	严桥路141弄1-27号,严镇路96弄	32234	22711	25541	30209	31119	30018
由由五村	124	严中路300弄1～33号	32607	23385	26229	29984	31308	29012
由由二村	127	严镇路75弄1～28号	31593	22529	24519	30123	31984	30200
由由一村	128	严杨路165弄,30弄,45弄,60弄	31539	22933	25724	28793	31285	29558
秋水云庐	129	长寿路28弄	47392	32361	37207	41008	40713	39755
上海绿城	130	锦和路99弄	56502	40992	44367	46609	47407	47850
锦绣满堂花园	131	锦安路东路55弄1-2号 锦安路东路88弄1-24号	50122	33685	37506	42320	42171	42322
万源杰座（公寓）	132	东绣路999弄	45645	32246	34943	39012	39093	38999
涵合园	133	东绣路1389弄	50032	32778	37086	40145	40925	41473
玉佛城	136	江宁路1000弄、1046弄、1078弄、111..	39598	26512	32349	33620	31511	32408
音乐广场	137	江宁路1220弄	48777	34544	39799	41525	42467	41895
中远龙阳公寓	138	杨高南路1288号	39085	26879	28139	33591	32946	36842
欣晟家园	139	东环龙路181弄	44914	33594	35275	41483	41108	44079
东方汇景苑	140	北园路258弄	44692	32644	36027	39994	40120	39101
滨江国际	141	临沂北路150弄	40040	28495	33146	36616	34709	34713
达安河畔雅苑	142	安远路5弄1号	47492	36904	36916	43662	42696	41165
春之声公寓	143	东方路1600弄	41549	33055	34384	40977	39978	39067
仕嘉名苑	144	蓝村路55弄	43529	32318	35419	38363	38442	38724
天山河畔花园	146	水城路883弄	50310	39399	43126	44855	45107	44298
仁恒河滨花园	147	芙蓉江路388弄	58099	51991	53249	54579	56667	56083
绿缘公寓	148	花木路718弄	44276	31624	33239	35857	39104	38136
御翠园	150	花木路1883弄	117513	77131	84981	87362	91544	91311
浦园千秋别墅	151	柳杉路229弄	123501	28749	68062	61677	89911	58780
虹南大楼	152	虹桥路1024弄	41362	28821	31721	39322	43632	37347
第九城市	153	九成一期锦绣路300弄,二期迎春路1355弄	58353	39619	45295	48414	49807	48958
上青佳园	154	常德路1258弄	42517	30194	33494	36590	37948	37635
万华小区	156	万航渡路1523弄15号	37751	27464	0	39412	35280	35951
家化滨江苑	157	浦明路1188弄1～5号	54051	47563	51551	50541	50312	46040
虹延公寓	159	虹梅路3800弄	35548	24545	24898	13387	30824	28571
汤臣豪庭	160	广兰路50弄	40305	29264	32699	35012	34603	35480
华丽家族花园	161	锦绣路666弄	56989	41229	43917	46379	49751	48600
天山星城	162	威宁路358弄	55822	36847	42435	44352	47749	46783
东怡花苑	163	局门路599弄	47681	34448	36349	40909	40635	43171
仙逸小区	164	仙霞路451弄、仙霞路435弄、水城路3..	33095	25904	28491	31249	32866	32964
德怡苑	165	常德路1393弄,常德路1391弄,常德路1375弄	37818	25433	30208	32731	36422	34550
皇家花园	168	安顺路389号	54645	48069	49390	52197	50409	51476
